VEHICLE_NO	VCLE_KEYID	VIN	TERMINAL_ID
G21/99-001	170214	KMJTA18YPMC000530	BM-15C-0120
GL32104-C225	155580	GL32104-C225	BM-15C-0118
H19/01-008	133217	3KPA34AD1JE000425	BM-16L-0016
H19/04-060	138017	KNDJ33AU9K7000328	BM-15C-0071
H19/06-028	140947	KMH5AA1D0L1000004	VM-18L-0158
H19/06-029	140946	KMH5AA1D4L1000037	VM-18L-0159
H19/11-007	151158	KNARG2LC7L1000044	BM-16L-0071
H19/11-007_1	154295	MQ4_Temperary	BM-15C-0170
H19/11-040	151941	KNARK81BHLA000070	VM-18L-0283
H19/11-040_1	154294	MQ4_Temperary	BM-15C-0006
H19/12-002	152138	KNARH81GBL5000146	VM-21C-0147
H20/01-017	153643	KNAB351AALT635180	BM-16L-0016
H20/02-009	154192	KNADC517GL6407787	BM-16L-0016
H20/02-017	154565	KNANC81BBMS000037	VM-18L-0051
H20/02-018	154811	KNANE81BBMS000036	VM-18L-0082
H20/03-001	156182	KNARHBLF9L1000134	BM-16L-0117
H20/04-003	154820	KNANC81BBMS000017	VM-18L-0150
H20/04-003_1	162734	KNANC81BBMS000017_1	BM-15C-0145
H20/04-022	158953	KNAB3519ALT672104	BM-16L-0016
H20/05-001	159376	KNDRMDLHXM5000388	VM-18L-0092
H20/06-001	154812	KNANC813MM6000188	VM-18L-0246
H20/06-006	160798	KNDNB5H30M6000367	VM-18L-0089
H20/06-007	160797	KNHNB374BM6000324	VM-18L-0216
H20/06-017	160924	3KPA34AD5ME000531	BM-16L-0016
H20/07-018	163035	KNARM81HDM5008747	VM-18L-0089
H20/11-001	166845	KNAM6411BNA000039	VM-18L-0089
H20/11-002	166879	KNAM641BBNA000078	VM-18L-0092
H20/11-003	166880	KNAM541DBNA000032	VM-18L-0244
H21/01-018	170097	KNAM541DDNA000089	VM-18L-0089
H21/02-011	170843	KNAM6411BNA000095	VM-18L-0216
H21/02-012	170883	KNAM641BBNA000220	VM-18L-0092
H21/02-013	170884	KNAM241D0N5000253	VM-18L-0244
H21/02-017	171739	KNAC381CPMA000031	VM-18L-0246
H21/02-021	172329	KNAPU81XBNK000018	VM-18L-0216
H21/03-004	172675	KNAPU81DDN1000077	VM-18L-0036
H21/03-005	172674	KNAPX81GDN1000190	VM-18L-0271
H21/03-010	172994	KNAPX81GBN1000186	VM-18L-0244
H21/03-021	173197	KNAPU81BNN1000021	VM-18L-0089
H21/03-024	173361	KNAPV81BHNK000013	VM-18L-0092
H21/03-026	173360	KNAPX81BAN1000009	VM-18L-0092
H21/05-012	177699	KNAK52AD4N1000010	VM-18L-0216
H21/05-017	174155	KNACT81EGP5000132	VM-21C-0103
H21/05-019	174135	KNACT81EGPA000112	VM-21C-0093
H21/05-021	177375	KNAC281AFNA000262	VM-21C-0091
H21/05-029	164856	KNAM641BBNA000075	VM-18L-0082
H21/07-017	181368	KNDPTDAH0N7000225	VM-18L-0092
H21/07-018	181453	KNAGE813MN1000130	VM-21C-0096
H21/07-020	181456	KNAGC814TN1000188	VM-21C-0095
H21/07-022	181458	KNAGC811GN1000166	VM-21C-0094
H21/08-020	184271	KNARL81BHMA120652	VM-21C-0179
H21/08-020-1	189834	H21-08-020-1	BM-16L-0052
H21/08-020-2	192494	H21/08-020-2_temp	BM-16L-0052
H21/08-023	183259	KNDCR3LFXP5000332	VM-18L-0244
H21/08-024	183258	KNACU81FGP5000329	VM-18L-0216
H21/08-025	183704	KNCSHY76LNK564977	BM-16L-0023
H21/09-003	184014	KNACR81FVP5000337	VM-18L-0089
H21/09-003	184017	KNACR81FVP5000337	VM-18L-0089
H21/09-004	183906	KNACT81EGPA000427	VM-21C-0103
H21/09-007	183903	KNACT81EGPA000370	VM-18L-0066
H21/10-005	184597	KNACR811FPA000046	VM-18L-0092
H21/10-006	184598	KNDCP3L17P5000055	VM-21C-0093
H21/10-022	188943	KNAKN814DMA231876	BM-16L-0058
H21/10-034	174167	KNDCT3LE8P5000144	VM-18L-0067
H22/01-004	193495	KNACS81FGP5000584	VM-18L-0089
H22/01-005	193494	KNDCR3LF1P5000588	VM-21C-0221
H22/02-006	194510	KNAPT81JBNK031784	VM-21C-0093
H22/03-002	195507	KNA7AA1H0M1000048	VM-21C-0094
H22/03-003	195506	KNA7AC1H9M1000058	VM-21C-0095
H22/03-004	195505	KNA7AA1D3M1000025	VM-18L-0092
H22/03-005	195504	KNA7AA1DXM1000023	VM-18L-0216
H22/03-017	195895	KNDPZDAH3P7011267	VM-18L-0244
H22/04-001	196076	KNAPY81JBNK061551	VM-21C-0093
H22/06-009	199766	KNAC181EPNA065955	VM-18L-0092
I20/11-006	167014	I20/11-006_TEMP	BM-16L-0121
J12/07-007	63726	KMEFC18PPCC990019	BM-15C-1005
J13/01-002	63737	KMEFC18PPCC990020	BM-15C-1006
J15/02-006	64388	KMFMA18TPFC082731	BM-15C-0062
J17/11-002	111721	KMJTA18XPHC026270	BM-16L-0147
J18/05-002	115854	KMEKB18KPKC017898	BM-15C-0122
J19/05-001	139054	KMJTA18WPKC029780	BM-16L-0017
J20/02-003	154260	KMJHA19VPLC000004	VM-18L-0234
J20/03-001	157023	KMJTA18YPLC000002	VM-18L-0242
J20/04-001	157727	KMJHK19VPLC000010	VM-18L-0228
J20/99-001	164054	J20/99-001_temp	BM-15C-0004
J21/04-0001	179014	J21/04-0001_temp	BM-15C-0140
J21/04-001	175930	KMJTA18XPMC000723	VM-21C-0092
J21/04-001_1	178994	J21/04-001_1_temp	VM-21C-0092
J21/NEV2V-001	186274	J21-NEV2V-001	VM-21C-0113
J21/V2V-001	186294	J21-V2V-001_temp	VM-18L-0100
J21/V2V-002-1	186334	J21/V2V-002-1_temp	VM-18L-0128
J21/V2V-003	186296	J21/V2V-003_temp	VM-18L-0149
J21/V2V-003-1	186354	J21-V2V-003-1_temp	VM-21C-0105
J21/V2V-004	186297	J21/V2V-004_temp	VM-18L-0224
J21/V2V-005	186298	J21/V2V-005_temp	VM-18L-0230
J21/V2V-006	186299	J21/V2V-006_temp	VM-18L-0272
J21/V2V-007	186300	J21/V2V-007_temp	VM-18L-0281
JR17/02-001	96728	VDMS_RBk_JR_1702001	BM-16L-0026
JW19706-C146	171453	KMTKEXXBPMU000022	BM-16L-1031
JW2101-B999	163229	JW2101-B999	BM-15C-0140
JX_P1_VDMS_001	146714	190828_JX0001	VM-18L-0169
LF-TAXI-001	59227	LF-TAXI-001	BM-15C-0030
LF-TAXI-002	59228	LF-TAXI-002	BM-15C-0070
LFTAXI-6951	83504	KMHE341DBFA073606	BM-15C-0031
LFTAXI-6962	83505	KMHE341DBFA073675	BM-15C-0072
LX21801-C036	114049	LX21801-C036	BM-15C-0148
MD1301-C014	20276	MD1301-C014	BM-15C-1006
MD1301-C074	20336	MD1301-C074	BM-15C-1005
MD3662-B004	20344	KMHDH4AE0BU000132	BM-15C-1006
MD3662-C069	20466	KMHDH4AE6BU000068	BM-15C-1006
MD3782-C065	20542	KMHDG41E8BU000205	BM-15C-1006
MD3782-C066	20543	KMHDH41E3BU000223	BM-15C-1006
MQ42103-C001	150392	MQ42103-C001	VM-18L-0147
MQ42104-C324	150432	KNARHBLG4K1P98324	VM-18L-0147
MSK22/08-001	201034	MSK22/08-001	VM-18L-0055
N00/00-001	170914	N00/00-001_TEMP	VM-18L-0162
N00/00-002	172194	N00/00-002_TEMP	VM-18L-0295
N00/00-003	172214	N00/00-003_TEMP	VM-21C-0124
N00/00-010	174574	N00/00-010_TEMP	VM-18L-0222
N09/09-153	20877	KMHDH44LP91098094	BM-15C-1006
N10/07-357	15175	KMHFH41NBBA000035	BM-16L-1007
N10/07-357	50044	KMHFH41NBBA000035	BM-16L-1020
N10/09-264	15390	KMHFH41EBBA000209	BM-15C-1005
N10/10-106	20029	KNAHN512BA1098008	BM-15C-0202
N10/10-252	36257	KMFWBX7KABU288619	BM-15C-1005
N10/10-264	21447	KMHDH4AE7BU035895	BM-15C-1006
N10/11-495	50794	KMHFH41B9BA000310	BM-15C-0034
N10/11-495	16140	KMHFH41B9BA000310	BM-16L-1007
N11/03-464	29242	KNDJT2A62C7300435	BM-15C-1006
N11/04-054	23398	KMHLC81UACU000303	BM-16L-1020
N11/06-304	19683	U5YHN513BCL000100	RMM-15C0001
N11/12-138	14303	KNALW412XD6000106	BM-15C-0045
N12/01-016	14335	KNALT413BDS000125	RMM-15C0001
N12/03-113	20729	MALDH41ULCM000029	BM-16L-1007
N12/04-152	17205	KMHSW81XDDU000401	BM-16L-0056
N12/04-352	14714	KNALW4121D6000303	BM-16L-0107
N12/07-166	63724	KMEFB18PPCC990005	BM-15C-0140
N12/08-023	39188	KNAJP82A2C1T98022	BM-15C-0202
N12/09-320	21146	KMHDG41DBDU627046	BM-15C-0176
N12/09-454	23828	KMHLC81AADU047647	BM-15C-0131
N12/10-219	41749	KMHJU81FBC1T98037	BM-15C-0202
N12/12-305	42097	KMHJT81VDDU652700	BM-15C-0202
N13/01-144	68588	KNDJP2A54D7000134	VM-21C-0082
N13/02-165	68586	KNDJP3A53D7000132	VM-21C-0082
N13/03-212	39048	KNDJP11A6D1T98005	BM-15C-0202
N13/03-374	39050	KNAJP81AFD1T98033	BM-15C-0202
N13/03-375	39049	KNDJP11A6D1T98036	BM-15C-0202
N13/03-406	39053	KNDJP11A3D1T98043	BM-15C-0202
N13/03-407	39052	KNDJP11A4D1T98035	BM-15C-0202
N13/03-408	39051	KNDJP11A9D1T98032	BM-15C-0202
N13/03-425	68587	KNDJX3A55D7000133	VM-21C-0082
N13/03-426	39055	KNAJP81AFD1T98045	BM-15C-0202
N13/04-173	15409	KMHEH413BD1T98033	RMM-15C0001
N13/05-223	14670	K9KHNA121119TC052	BM-15C-0001
N13/06-311	63988	KMJKG18JPDC997453	BM-15C-0141
N13/06-420	37052	KNALM415BDA133897	BM-15C-0177
N13/07-353	63989	KMJKG18KPDC007457	BM-16L-0131
N13/07-430	14427	KNALU4D31E6013421	BM-15C-0202
N13/08-042	13622	KMHGN4JFXEU000089	BM-16L-0140
N13/08-120	13635	KMHGN4JF0EU000098	BM-16L-0142
N13/08-342	23904	KMHLC81UBDU073647	BM-15C-0028
N13/09-231	14470	KNALW4D40E6014305	BM-16L-0081
N13/10-022	63992	KMJKG18KPDC907724	BM-15C-0022
N13/10-263	15039	KMHFF41EBEA322920	RMM-15C0001
N13/10-264	13766	KMHGN41FBEU000302	BM-15C-1005
N13/10-264	84286	KMHGN41FBEU000302	BM-16L-1007
