VEHICLE_NO	VCLE_KEYID	VIN	TERMINAL_ID
S20/99-009	142682	S20-99-009	BM-15C-0037
S20/99-010	142683	S20-99-010	BM-15C-0003
S20/99-011	142684	S20-99-011	BM-15C-0092
S20/99-012	142685	S20-99-012	BM-16L-0036
S20/99-013	142686	S20-99-013	BM-16L-0094
S20/99-014	142687	S20-99-014	BM-15C-0199
S20/99-015	142688	S20-99-015	BM-15C-0060
S20/99-016	142689	S20-99-016	BM-15C-0042
S20/99-017	142690	S20-99-017	BM-15C-0132
S20/99-018	142691	S20-99-018	BM-15C-0056
S20/99-019	142692	S20-99-019	BM-15C-0195
S20/99-020	142693	S20-99-020	BM-15C-0157
S20/99-021	142694	S20-99-021	BM-15C-0157
S20/99-022	142695	S20-99-022	BM-16L-0063
S20/99-023	142696	S20-99-023	BM-15C-0112
S20/99-024	142697	S20-99-024	BM-15C-0123
S20/99-025	142698	S20-99-025	BM-15C-0157
S20/99-026	142699	S20-99-026	BM-15C-0157
S20/99-027	142700	S20-99-027	BM-15C-0140
S20/99-027-C	170474	S20-99-022-C	BM-16L-0063
S20/99-028	142701	S20-99-028	BM-15C-0097
S20/99-029	142702	S20-99-029	BM-15C-0008
S20/99-030	142703	S20-99-030	BM-15C-0178
S20/99-031	142704	KMFFB18WPMC024370	BM-15C-0050
S20/99-032	142705	S20-99-032	BM-15C-0083
S20/99-033	142706	S20-99-033	BM-15C-0113
S20/99-034	142707	S20-99-034	BM-15C-0157
S20/99-035	142708	S20-99-035	BM-15C-0157
S20/99-036	142709	S20-99-036	BM-15C-0115
S20/99-037	142710	S20-99-037	BM-15C-0198
S20/99-038	142711	S20-99-038	BM-15C-0013
S20/99-039	142712	S20-99-039	BM-15C-0074
S20/99-040	142714	S20-99-040	BM-15C-0088
S20/99-041	142715	S20-99-041	BM-15C-0109
S20/99-042	142716	S20-99-042	BM-15C-0148
S20/99-043	142717	S20-99-043	BM-15C-0028
S20/99-044	142718	S20-99-044	BM-15C-0156
S20/99-045	142719	S20-99-045	BM-15C-0062
S20/99-046	142720	S20-99-046	BM-16L-0009
S20/99-047	142721	S20-99-047	BM-15C-0047
S20/99-048	142723	S20-99-048	BM-15C-0033
S20/99-049	142724	S20-99-049	BM-15C-0138
S20/99-050	142725	S20-99-050	BM-15C-0187
S20/99-051	142726	S20-99-051	BM-15C-0157
S20/99-100	179074	S20/99-100_temp	BM-15C-0054
S21/99-001	170394	S21/99-001-temp	BM-15C-0167
T22/22-222	196374	T22/22-222_temp	VM-18L-0044
T22/DE-001	200961	KNAA381GFPT000420	VM-18L-0229
T22/DE-002	200962	KNAA381GFPT000419	VM-18L-0235
T22/DE-003	200963	KNAA381GFPT000421	VM-18L-0108
T22/NE-001	200954	KMHKL81AFNU104817	VM-18L-0098
T22/NE-002	200955	KMHKL81AFNU104745	VM-18L-0284
T22/NE-003	200956	KMHKL81AFNU109549	VM-21C-0087
T22/NE-004	200957	KMHKL81AFNU109566	VM-21C-0059
T22/NE-005	200958	KMHKL81AFNU109761	VM-21C-0055
T22/NE-006	200959	KMHKL81AFNU104330	VM-18L-0165
T22/NE-007	200960	KMHKL81AFNU104325	VM-21C-0009
T22/NE-007-1	207574	T22/NE-007_temp	VM-21C-0009
T22/NE-007-2	207594	T22/NE-007_TEMP_2	VM-21C-0009
TCU/AD-001	60045	VDMSTCUCELLAD0001	BM-15C-1005
TCU/YD-001	60044	VDMSTCUCELLYD0001	BM-15C-0014
THCC01	17441	KNDJK733X9500THCC	BM-15C-0013
THCC02	17442	KNDJK733X9501THCC	BM-15C-0017
TM9653-C021	155231	KMHS3811BLU000024	BM-16L-0046
U11/10-031	55459	KMHHW61JACU074944	BM-15C-0022
U13/09-014	13696	KMHGN4JF6EU000199	RMM-15C0001
U15/12-035	46750	KMHC051CGGU000093	BM-15C-0175
U16/06-001	73783	KMHH351DGHU000317	BM-16L-0013
U16/06-038	76047	KMHG341HBGU000414	BM-15C-0081
U16/06-045	76749	KMHH3511AG1000117	BM-15C-0173
U16/10-011	84962	KMHGL412DHU188462	BM-15C-0085
U17/06-007	104773	KMHL541EBJU000380	BM-15C-0009
U17/10-030	109385	KMHJ8816FJU000020	VM-21C-0112
U17/10-030_1	180015	U17/10-030_1_temp	BM-15C-0150
U17/11-047	106904	NLHB351AGJZ347585	BM-15C-0137
U17/11-048	106869	NLHB351AAJZ344734	BM-15C-0135
U18/01-025	109418	KMHJ8816FJU000046	BM-16L-0069
U18/03-002	117399	KM8J83A69JU000165	BM-16L-0085
U18/10-038	123802	KM8R58LE9KU000262	BM-16L-0056
U19/01-027	129121	KM8RC2A33LU000134	BM-15C-0026
U19/02-005	129060	KMHRA813ELU000222	BM-16L-0150
U19/03-026	136270	KMTGC41DBLU000055	VM-18L-0083
U19/03-027	136269	KMTGB41CDLU000053	VM-18L-0085
U19/03-028	136268	KMTGA41BDLU000054	VM-18L-0097
U19/04-024	137764	KMTGB41CBLU000188	VM-18L-0145
U19/04-026	137745	KMTGC41DBLU000187	VM-18L-0162
U19/04-027	137744	KMTGB4SCXLU000268	VM-18L-0146
U19/04-028	137743	KMTGC4SD2LU000271	VM-18L-0094
U19/04-028T	141274	RG3 Thermocouple	BM-15C-0153
U19/04-029	137742	KMTGB4SC6LU000266	VM-18L-0121
U19/04-029T	141275	RG3 Thermocouple	BM-15C-0202
